Job ID: 10490560
GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac.py   --env-id InvertedPendulum-v4   --run-id 10490560   --seed 5   --total-timesteps 1000000   --track   --capture-video   --wandb-project-name cleanrl-experiments
global_step=2533, episode=346, episodic_return=4.000
global_step=2544, episode=347, episodic_return=10.000
global_step=2548, episode=348, episodic_return=3.000
global_step=2559, episode=349, episodic_return=10.000
global_step=2568, episode=350, episodic_return=8.000
global_step=2572, episode=351, episodic_return=3.000
global_step=2576, episode=352, episodic_return=3.000
global_step=2581, episode=353, episodic_return=4.000
global_step=2586, episode=354, episodic_return=4.000
global_step=2590, episode=355, episodic_return=3.000
global_step=2602, episode=356, episodic_return=11.000
global_step=2610, episode=357, episodic_return=7.000
global_step=2615, episode=358, episodic_return=4.000
global_step=2624, episode=359, episodic_return=8.000
global_step=2629, episode=360, episodic_return=4.000
global_step=2638, episode=361, episodic_return=8.000
global_step=2648, episode=362, episodic_return=9.000
global_step=2653, episode=363, episodic_return=4.000
global_step=2658, episode=364, episodic_return=4.000
global_step=2662, episode=365, episodic_return=3.000
global_step=2666, episode=366, episodic_return=3.000
global_step=2670, episode=367, episodic_return=3.000
global_step=2675, episode=368, episodic_return=4.000
global_step=2688, episode=369, episodic_return=12.000
global_step=2698, episode=370, episodic_return=9.000
global_step=2706, episode=371, episodic_return=7.000
global_step=2711, episode=372, episodic_return=4.000
global_step=2717, episode=373, episodic_return=5.000
global_step=2721, episode=374, episodic_return=3.000
global_step=2727, episode=375, episodic_return=5.000
global_step=2733, episode=376, episodic_return=5.000
global_step=2738, episode=377, episodic_return=4.000
global_step=2748, episode=378, episodic_return=9.000
global_step=2754, episode=379, episodic_return=5.000
global_step=2759, episode=380, episodic_return=4.000
global_step=2769, episode=381, episodic_return=9.000
global_step=2774, episode=382, episodic_return=4.000
global_step=2782, episode=383, episodic_return=7.000
global_step=2788, episode=384, episodic_return=5.000
global_step=2793, episode=385, episodic_return=4.000
global_step=2798, episode=386, episodic_return=4.000
global_step=2802, episode=387, episodic_return=3.000
global_step=2809, episode=388, episodic_return=6.000
global_step=2815, episode=389, episodic_return=5.000
global_step=2820, episode=390, episodic_return=4.000
global_step=2829, episode=391, episodic_return=8.000
global_step=2842, episode=392, episodic_return=12.000
global_step=2848, episode=393, episodic_return=5.000
global_step=2855, episode=394, episodic_return=6.000
global_step=2859, episode=395, episodic_return=3.000
global_step=2865, episode=396, episodic_return=5.000
global_step=2877, episode=397, episodic_return=11.000
global_step=2881, episode=398, episodic_return=3.000
global_step=2885, episode=399, episodic_return=3.000
global_step=2891, episode=400, episodic_return=5.000
global_step=2896, episode=401, episodic_return=4.000
global_step=2904, episode=402, episodic_return=7.000
global_step=2908, episode=403, episodic_return=3.000
global_step=2914, episode=404, episodic_return=5.000
global_step=2919, episode=405, episodic_return=4.000
global_step=2925, episode=406, episodic_return=5.000
global_step=2929, episode=407, episodic_return=3.000
global_step=2935, episode=408, episodic_return=5.000
global_step=2939, episode=409, episodic_return=3.000
global_step=2945, episode=410, episodic_return=5.000
global_step=2956, episode=411, episodic_return=10.000
global_step=2969, episode=412, episodic_return=12.000
global_step=2975, episode=413, episodic_return=5.000
global_step=2980, episode=414, episodic_return=4.000
global_step=2992, episode=415, episodic_return=11.000
global_step=3002, episode=416, episodic_return=9.000
global_step=3012, episode=417, episodic_return=9.000
global_step=3017, episode=418, episodic_return=4.000
global_step=3024, episode=419, episodic_return=6.000
global_step=3032, episode=420, episodic_return=7.000
global_step=3036, episode=421, episodic_return=3.000
global_step=3041, episode=422, episodic_return=4.000
global_step=3045, episode=423, episodic_return=3.000
global_step=3050, episode=424, episodic_return=4.000
global_step=3058, episode=425, episodic_return=7.000
global_step=3064, episode=426, episodic_return=5.000
global_step=3070, episode=427, episodic_return=5.000
global_step=3079, episode=428, episodic_return=8.000
global_step=3083, episode=429, episodic_return=3.000
global_step=3093, episode=430, episodic_return=9.000
global_step=3097, episode=431, episodic_return=3.000
global_step=3106, episode=432, episodic_return=8.000
global_step=3112, episode=433, episodic_return=5.000
global_step=3116, episode=434, episodic_return=3.000
global_step=3120, episode=435, episodic_return=3.000
global_step=3126, episode=436, episodic_return=5.000
global_step=3130, episode=437, episodic_return=3.000
global_step=3135, episode=438, episodic_return=4.000
global_step=3140, episode=439, episodic_return=4.000
global_step=3149, episode=440, episodic_return=8.000
global_step=3154, episode=441, episodic_return=4.000
global_step=3159, episode=442, episodic_return=4.000
global_step=3164, episode=443, episodic_return=4.000
global_step=3174, episode=444, episodic_return=9.000
global_step=3179, episode=445, episodic_return=4.000
global_step=3183, episode=446, episodic_return=3.000
global_step=3191, episode=447, episodic_return=7.000
global_step=3196, episode=448, episodic_return=4.000
global_step=3201, episode=449, episodic_return=4.000
global_step=3205, episode=450, episodic_return=3.000
global_step=3211, episode=451, episodic_return=5.000
