Job ID: 10484947
GPU Info: NVIDIA A100 80GB PCIe
Starting SAC in MuJoCo environment training...
Command: srun uv run python experiments/mujoco/sac.py   --env-id Hopper-v4   --run-id 10484947   --seed 1   --total-timesteps 1000000   --track   --capture-video   --wandb-project-name cleanrl-experiments
    -> Best video saved: videos/Hopper-v4_sac_10484947/best_step-29568_episode-478.mp4
    -> New best: episodic_return=629.232
global_step=29728, episode=479, episodic_return=479.516
global_step=29906, episode=480, episodic_return=552.479
global_step=30090, episode=481, episodic_return=561.159
global_step=30326, episode=482, episodic_return=623.740
global_step=30457, episode=483, episodic_return=364.602
global_step=30522, episode=484, episodic_return=82.323
global_step=30716, episode=485, episodic_return=368.493
global_step=30876, episode=486, episodic_return=330.863
global_step=31022, episode=487, episodic_return=362.816
global_step=31239, episode=488, episodic_return=453.288
global_step=31278, episode=489, episodic_return=47.309
global_step=31315, episode=490, episodic_return=44.743
global_step=31421, episode=491, episodic_return=158.688
global_step=31519, episode=492, episodic_return=229.017
global_step=31726, episode=493, episodic_return=557.277
global_step=31942, episode=494, episodic_return=544.921
global_step=32144, episode=495, episodic_return=618.397
global_step=32297, episode=496, episodic_return=449.406
global_step=32348, episode=497, episodic_return=83.415
global_step=32490, episode=498, episodic_return=398.627
global_step=32547, episode=499, episodic_return=96.262
global_step=32746, episode=500, episodic_return=614.415
global_step=32951, episode=501, episodic_return=554.258
global_step=33145, episode=502, episodic_return=594.031
global_step=33275, episode=503, episodic_return=331.495
global_step=33368, episode=504, episodic_return=193.121
global_step=33448, episode=505, episodic_return=158.481
global_step=33530, episode=506, episodic_return=150.259
global_step=33725, episode=507, episodic_return=595.638
global_step=33936, episode=508, episodic_return=596.278
global_step=34131, episode=509, episodic_return=562.764
global_step=34282, episode=510, episodic_return=356.519
global_step=34477, episode=511, episodic_return=548.391
global_step=34673, episode=512, episodic_return=497.334
global_step=34860, episode=513, episodic_return=468.441
global_step=35011, episode=514, episodic_return=344.125
global_step=35158, episode=515, episodic_return=314.290
global_step=35295, episode=516, episodic_return=364.727
global_step=35432, episode=517, episodic_return=297.718
global_step=35569, episode=518, episodic_return=306.699
global_step=35712, episode=519, episodic_return=305.906
global_step=35861, episode=520, episodic_return=330.299
global_step=36009, episode=521, episodic_return=311.522
global_step=36167, episode=522, episodic_return=366.775
global_step=36301, episode=523, episodic_return=309.011
global_step=36439, episode=524, episodic_return=299.580
global_step=36645, episode=525, episodic_return=572.260
global_step=36734, episode=526, episodic_return=160.378
global_step=36869, episode=527, episodic_return=310.951
global_step=37102, episode=528, episodic_return=614.327
global_step=37227, episode=529, episodic_return=319.779
global_step=37360, episode=530, episodic_return=296.966
global_step=37381, episode=531, episodic_return=-0.063
global_step=37402, episode=532, episodic_return=-0.319
global_step=37440, episode=533, episodic_return=8.078
global_step=37463, episode=534, episodic_return=0.162
global_step=37485, episode=535, episodic_return=0.227
global_step=37522, episode=536, episodic_return=9.200
global_step=37549, episode=537, episodic_return=3.776
global_step=37577, episode=538, episodic_return=5.231
global_step=37619, episode=539, episodic_return=9.838
global_step=37660, episode=540, episodic_return=8.983
global_step=37700, episode=541, episodic_return=9.330
global_step=37724, episode=542, episodic_return=8.063
global_step=37746, episode=543, episodic_return=-0.194
global_step=37789, episode=544, episodic_return=14.691
